subj,group,task,hemi,selec_spread
hemispace2001,control,face,left,146375.13083815575
hemispace2001,control,face,right,244951.30807304382
hemispace2002,control,face,left,10784.326367378235
hemispace2002,control,face,right,81165.00324368477
hemispace2003,control,face,left,8904.205459356308
hemispace2003,control,face,right,18335.991740703583
hemispace2001,control,word,left,146375.13083815575
hemispace2001,control,word,right,244951.30807304382
hemispace2002,control,word,left,10784.326367378235
hemispace2002,control,word,right,81165.00324368477
hemispace2003,control,word,left,8904.205459356308
hemispace2003,control,word,right,18335.991740703583
