subj,group,task,hemi,selec_spread
hemispace2001,control,space,left,0.03264232877168247
hemispace2001,control,space,right,0.04391955511388983
hemispace2002,control,space,left,0.09100610785954673
hemispace2002,control,space,right,0.14299289931349343
hemispace2003,control,space,left,0.060799613235761184
hemispace2003,control,space,right,0.12568846231298053
hemispace2001,control,tool,left,0.06967261783279531
hemispace2001,control,tool,right,0.05596564927681961
hemispace2002,control,tool,left,0.08111991942404953
hemispace2002,control,tool,right,0.085538024215907
hemispace2003,control,tool,left,0.02954674028571236
hemispace2003,control,tool,right,0.0
