subj,group,task,hemi,selec_spread
hemispace2001,control,space,left,0.09733922297722689
hemispace2001,control,space,right,0.15220301717646884
hemispace2002,control,space,left,0.14570512317106815
hemispace2002,control,space,right,0.2718174828464156
hemispace2003,control,space,left,0.13526833938032784
hemispace2003,control,space,right,0.31271095172120955
hemispace2001,control,tool,left,0.2278533222175826
hemispace2001,control,tool,right,0.30507923990862673
hemispace2002,control,tool,left,0.25591801152459953
hemispace2002,control,tool,right,0.171324292397136
hemispace2003,control,tool,left,0.07569518168625883
hemispace2003,control,tool,right,0.017255200904356276
