sub_code,hemi,analysis,word_ipsi,word_contra,face_ipsi,face_contra,tool_ipsi,tool_contra,space_ipsi,space_contra
KN,Right,Summed Selectivity,"44.77899448781301 (7.811423541875167,  181.3035934049783)-","44.77899448781301 (13.674927770362721,  369.961944790676)-","77.29272949457052 (26.855082109067972,  449.54445088988894)-","77.29272949457052 (11.220917978113615,  292.92289015599033)-","22.03458197079956 (5.949905628088435,  294.78660228435893)-","22.03458197079956 (3.21794482471989,  384.61268632077076)-","2.622139409964104 (66.64832888415734,  1285.6074583846105)*","2.622139409964104 (46.72825329526235,  1094.219011450476)*"
KT,Right,Summed Selectivity,"51.93114484355097 (7.811423541875167,  181.3035934049783)-","51.93114484355097 (13.674927770362721,  369.961944790676)-","47.68683709216479 (26.855082109067972,  449.54445088988894)-","47.68683709216479 (11.220917978113615,  292.92289015599033)-",n/a,n/a,"1068.357784860484 (66.64832888415734,  1285.6074583846105)-","1068.357784860484 (46.72825329526235,  1094.219011450476)-"
EB,Right,Summed Selectivity,"134.71125802243284 (7.811423541875167,  181.3035934049783)-","134.71125802243284 (13.674927770362721,  369.961944790676)-","255.57476607485603 (26.855082109067972,  449.54445088988894)-","255.57476607485603 (11.220917978113615,  292.92289015599033)-","5.197665075519424 (5.949905628088435,  294.78660228435893)*","5.197665075519424 (3.21794482471989,  384.61268632077076)-","64.77784071147009 (66.64832888415734,  1285.6074583846105)*","64.77784071147009 (46.72825329526235,  1094.219011450476)-"
XC,Left,Summed Selectivity,"3.076857831104692 (13.674927770362721,  369.961944790676)*","3.076857831104692 (7.811423541875167,  181.3035934049783)*","3.8864879723054817 (11.220917978113615,  292.92289015599033)*","3.8864879723054817 (26.855082109067972,  449.54445088988894)*","23.873113807629267 (3.21794482471989,  384.61268632077076)-","23.873113807629267 (5.949905628088435,  294.78660228435893)-","61.50405700734678 (46.72825329526235,  1094.219011450476)-","61.50405700734678 (66.64832888415734,  1285.6074583846105)*"
BI,Left,Summed Selectivity,"0.4141935918173155 (13.674927770362721,  369.961944790676)*","0.4141935918173155 (7.811423541875167,  181.3035934049783)*","18.735291753317416 (11.220917978113615,  292.92289015599033)-","18.735291753317416 (26.855082109067972,  449.54445088988894)*","114.15943693265956 (3.21794482471989,  384.61268632077076)-","114.15943693265956 (5.949905628088435,  294.78660228435893)-","410.76457085264536 (46.72825329526235,  1094.219011450476)-","410.76457085264536 (66.64832888415734,  1285.6074583846105)-"
BN,Left,Summed Selectivity,"44.26531133474925 (13.674927770362721,  369.961944790676)-","44.26531133474925 (7.811423541875167,  181.3035934049783)-","225.9297207928785 (11.220917978113615,  292.92289015599033)-","225.9297207928785 (26.855082109067972,  449.54445088988894)-","1.3698358514162905 (3.21794482471989,  384.61268632077076)*","1.3698358514162905 (5.949905628088435,  294.78660228435893)*","133.84674254291622 (46.72825329526235,  1094.219011450476)-","133.84674254291622 (66.64832888415734,  1285.6074583846105)-"
FO,Right,Summed Selectivity,"242.31197572171695 (7.811423541875167,  181.3035934049783)*","242.31197572171695 (13.674927770362721,  369.961944790676)-","44.35336578314472 (26.855082109067972,  449.54445088988894)-","44.35336578314472 (11.220917978113615,  292.92289015599033)-","82.50099323933861 (5.949905628088435,  294.78660228435893)-","82.50099323933861 (3.21794482471989,  384.61268632077076)-","27.94594511422068 (66.64832888415734,  1285.6074583846105)*","27.94594511422068 (46.72825329526235,  1094.219011450476)*"
SI,Left,Summed Selectivity,"221.1512140588432 (13.674927770362721,  369.961944790676)-","221.1512140588432 (7.811423541875167,  181.3035934049783)*","316.0655142510866 (11.220917978113615,  292.92289015599033)*","316.0655142510866 (26.855082109067972,  449.54445088988894)-","9.905286042645187 (3.21794482471989,  384.61268632077076)-","9.905286042645187 (5.949905628088435,  294.78660228435893)-","2.263345641427039 (46.72825329526235,  1094.219011450476)*","2.263345641427039 (66.64832888415734,  1285.6074583846105)*"
