sub_code,hemi,analysis,word_ipsi,word_contra,face_ipsi,face_contra,tool_ipsi,tool_contra,space_ipsi,space_contra
KN,Right,Summed Selectivity,"15.620496576993713 (3.5847491020811315,  117.62491126784394)-","15.620496576993713 (9.388510089516187,  177.77282796289222)-","5.894296487289576 (5.910632247374362,  155.6396015544935)*","5.894296487289576 (4.048873993689124,  67.22501370229942)-","25.890922181200025 (4.413046331900655,  151.5123379895352)-","25.890922181200025 (9.788034101471682,  217.8515127380134)-","1.5747133897948282 (7.949225795050128,  375.61550529126646)*","1.5747133897948282 (6.098648416804804,  308.21046310904785)*"
KT,Right,Summed Selectivity,"191.26653455980315 (3.5847491020811315,  117.62491126784394)*","191.26653455980315 (9.388510089516187,  177.77282796289222)*","38.212430388028736 (5.910632247374362,  155.6396015544935)-","38.212430388028736 (4.048873993689124,  67.22501370229942)-",n/a,n/a,"128.7134582986007 (7.949225795050128,  375.61550529126646)-","128.7134582986007 (6.098648416804804,  308.21046310904785)-"
EB,Right,Summed Selectivity,"50.979140147965296 (3.5847491020811315,  117.62491126784394)-","50.979140147965296 (9.388510089516187,  177.77282796289222)-","31.795254629350072 (5.910632247374362,  155.6396015544935)-","31.795254629350072 (4.048873993689124,  67.22501370229942)-","7.90072157378389 (4.413046331900655,  151.5123379895352)-","7.90072157378389 (9.788034101471682,  217.8515127380134)*","29.468092085532632 (7.949225795050128,  375.61550529126646)-","29.468092085532632 (6.098648416804804,  308.21046310904785)-"
XC,Left,Summed Selectivity,"0.2001222361966664 (9.388510089516187,  177.77282796289222)*","0.2001222361966664 (3.5847491020811315,  117.62491126784394)*","2.371754056961938 (4.048873993689124,  67.22501370229942)*","2.371754056961938 (5.910632247374362,  155.6396015544935)*","15.884178805064009 (9.788034101471682,  217.8515127380134)-","15.884178805064009 (4.413046331900655,  151.5123379895352)-","31.5070508474327 (6.098648416804804,  308.21046310904785)-","31.5070508474327 (7.949225795050128,  375.61550529126646)-"
BI,Left,Summed Selectivity,"0.0 (9.388510089516187,  177.77282796289222)*","0.0 (3.5847491020811315,  117.62491126784394)*","3.290869496057916 (4.048873993689124,  67.22501370229942)*","3.290869496057916 (5.910632247374362,  155.6396015544935)*","63.1574152020368 (9.788034101471682,  217.8515127380134)-","63.1574152020368 (4.413046331900655,  151.5123379895352)-","103.80264491329548 (6.098648416804804,  308.21046310904785)-","103.80264491329548 (7.949225795050128,  375.61550529126646)-"
BN,Left,Summed Selectivity,"70.26148705564042 (9.388510089516187,  177.77282796289222)-","70.26148705564042 (3.5847491020811315,  117.62491126784394)-","80.9914109504567 (4.048873993689124,  67.22501370229942)*","80.9914109504567 (5.910632247374362,  155.6396015544935)-","2.5416309600366187 (9.788034101471682,  217.8515127380134)*","2.5416309600366187 (4.413046331900655,  151.5123379895352)*","16.866150519077163 (6.098648416804804,  308.21046310904785)-","16.866150519077163 (7.949225795050128,  375.61550529126646)-"
FO,Right,Summed Selectivity,"128.9663603288046 (3.5847491020811315,  117.62491126784394)*","128.9663603288046 (9.388510089516187,  177.77282796289222)-","6.783647894443167 (5.910632247374362,  155.6396015544935)-","6.783647894443167 (4.048873993689124,  67.22501370229942)-","14.199391333906055 (4.413046331900655,  151.5123379895352)-","14.199391333906055 (9.788034101471682,  217.8515127380134)-","2.8111369908471997 (7.949225795050128,  375.61550529126646)*","2.8111369908471997 (6.098648416804804,  308.21046310904785)*"
SI,Left,Summed Selectivity,"136.05259135574664 (9.388510089516187,  177.77282796289222)-","136.05259135574664 (3.5847491020811315,  117.62491126784394)*","37.750866530446025 (4.048873993689124,  67.22501370229942)-","37.750866530446025 (5.910632247374362,  155.6396015544935)-","23.93927387631645 (9.788034101471682,  217.8515127380134)-","23.93927387631645 (4.413046331900655,  151.5123379895352)-","2.5375695262055697 (6.098648416804804,  308.21046310904785)*","2.5375695262055697 (7.949225795050128,  375.61550529126646)*"
