sub_code,hemi,analysis,word_ipsi,word_contra,face_ipsi,face_contra,tool_ipsi,tool_contra,space_ipsi,space_contra
KN,Right,Summed Selectivity,"23.9506905119501 (6.424248561221504,  51.31789992439428)-","23.9506905119501 (9.158829170816025,  82.89076331669092)-","17.053369981360298 (10.545191518562593,  72.91280372341875)-","17.053369981360298 (4.6949299826950375,  37.225732901592266)-","6.517433894184719 (2.7018305654821826,  78.69309094001103)-","6.517433894184719 (5.243300957733837,  104.92743017365795)-","1.7797370955251302 (15.494256830379566,  262.84558522011974)*","1.7797370955251302 (11.000469695102202,  206.04471618898614)*"
KT,Right,Summed Selectivity,"83.72635673155274 (6.424248561221504,  51.31789992439428)*","83.72635673155274 (9.158829170816025,  82.89076331669092)*","18.487577322316383 (10.545191518562593,  72.91280372341875)-","18.487577322316383 (4.6949299826950375,  37.225732901592266)-",n/a,n/a,"184.21253913381776 (15.494256830379566,  262.84558522011974)-","184.21253913381776 (11.000469695102202,  206.04471618898614)-"
EB,Right,Summed Selectivity,"87.1848120837102 (6.424248561221504,  51.31789992439428)*","87.1848120837102 (9.158829170816025,  82.89076331669092)*","35.215381198115644 (10.545191518562593,  72.91280372341875)-","35.215381198115644 (4.6949299826950375,  37.225732901592266)-","10.330931738561349 (2.7018305654821826,  78.69309094001103)-","10.330931738561349 (5.243300957733837,  104.92743017365795)-","13.258048316904146 (15.494256830379566,  262.84558522011974)*","13.258048316904146 (11.000469695102202,  206.04471618898614)-"
XC,Left,Summed Selectivity,"23.714223675133795 (9.158829170816025,  82.89076331669092)-","23.714223675133795 (6.424248561221504,  51.31789992439428)-","3.129954998517816 (4.6949299826950375,  37.225732901592266)*","3.129954998517816 (10.545191518562593,  72.91280372341875)*","6.686188572298808 (5.243300957733837,  104.92743017365795)-","6.686188572298808 (2.7018305654821826,  78.69309094001103)-","20.98182496236921 (11.000469695102202,  206.04471618898614)-","20.98182496236921 (15.494256830379566,  262.84558522011974)-"
BI,Left,Summed Selectivity,"3.823047278600041 (9.158829170816025,  82.89076331669092)*","3.823047278600041 (6.424248561221504,  51.31789992439428)*","6.686809990346192 (4.6949299826950375,  37.225732901592266)-","6.686809990346192 (10.545191518562593,  72.91280372341875)*","19.475987350843685 (5.243300957733837,  104.92743017365795)-","19.475987350843685 (2.7018305654821826,  78.69309094001103)-","67.82022518488702 (11.000469695102202,  206.04471618898614)-","67.82022518488702 (15.494256830379566,  262.84558522011974)-"
BN,Left,Summed Selectivity,"26.14374962149075 (9.158829170816025,  82.89076331669092)-","26.14374962149075 (6.424248561221504,  51.31789992439428)-","30.40685683045084 (4.6949299826950375,  37.225732901592266)-","30.40685683045084 (10.545191518562593,  72.91280372341875)-","5.031819435394604 (5.243300957733837,  104.92743017365795)*","5.031819435394604 (2.7018305654821826,  78.69309094001103)-","35.555142111712506 (11.000469695102202,  206.04471618898614)-","35.555142111712506 (15.494256830379566,  262.84558522011974)-"
FO,Right,Summed Selectivity,"92.64489249004072 (6.424248561221504,  51.31789992439428)*","92.64489249004072 (9.158829170816025,  82.89076331669092)*","6.516752648757352 (10.545191518562593,  72.91280372341875)*","6.516752648757352 (4.6949299826950375,  37.225732901592266)-","19.42954956648169 (2.7018305654821826,  78.69309094001103)-","19.42954956648169 (5.243300957733837,  104.92743017365795)-","7.361076053954326 (15.494256830379566,  262.84558522011974)*","7.361076053954326 (11.000469695102202,  206.04471618898614)*"
SI,Left,Summed Selectivity,"57.31987491725326 (9.158829170816025,  82.89076331669092)-","57.31987491725326 (6.424248561221504,  51.31789992439428)*","40.075887824100526 (4.6949299826950375,  37.225732901592266)*","40.075887824100526 (10.545191518562593,  72.91280372341875)-","5.641342109861 (5.243300957733837,  104.92743017365795)-","5.641342109861 (2.7018305654821826,  78.69309094001103)-","1.5446566284909808 (11.000469695102202,  206.04471618898614)*","1.5446566284909808 (15.494256830379566,  262.84558522011974)*"
