sub_code,hemi,analysis,word_left,word_right,,face_left,face_right,,tool_left,tool_right,,space_left,space_right,
XC,Left,Decoding,n/a,n/a,,n/a,n/a,,n/a,n/a,,n/a,n/a,
SI,Left,Decoding,n/a,n/a,,n/a,n/a,,n/a,n/a,,n/a,n/a,
BI,Left,Decoding,n/a,n/a,,n/a,n/a,,n/a,n/a,,n/a,n/a,
BN,Left,Decoding,n/a,n/a,,n/a,n/a,,n/a,n/a,,n/a,n/a,
EB,Right,Decoding,n/a,n/a,,n/a,n/a,,n/a,n/a,,n/a,n/a,
KT,Right,Decoding,n/a,n/a,,n/a,n/a,,n/a,n/a,,n/a,n/a,
FO,Right,Decoding,n/a,n/a,,n/a,n/a,,n/a,n/a,,n/a,n/a,
KN,Right,Decoding,n/a,n/a,,n/a,n/a,,n/a,n/a,,n/a,n/a,
