subj,group,task,hemi,selec_spread
hemispace2001,control,face,left,33976.50703597069
hemispace2001,control,face,right,50581.845297813416
hemispace2002,control,face,left,6386.939785480499
hemispace2002,control,face,right,30562.830453395844
hemispace2003,control,face,left,1043.0298266410828
hemispace2003,control,face,right,5055.0107135772705
hemispace2001,control,word,left,33976.50703597069
hemispace2001,control,word,right,50581.845297813416
hemispace2002,control,word,left,6386.939785480499
hemispace2002,control,word,right,30562.830453395844
hemispace2003,control,word,left,1043.0298266410828
hemispace2003,control,word,right,5055.0107135772705
